passer_player_id,passer_player_name,week,passing_yards,passing_tds,interceptions,pass_attempts,rusher_player_id,rushing_yards,rushing_tds,fumbles_lost,fantasy_points,recent_team,opponent_team,def_qb_fp_allowed_roll5,qb_fp_roll5,league_qb_fp_allowed,proj_baseline,proj_adj,def_delta,proj_shrunk_02
00-0039163,C.Stroud,3,204.0,1.0,2.0,40.0,00-0039163,22.0,0.0,0.0,10.36,HOU,JAX,10.394999980926514,15.414999723434448,13.318125,15.414999723434448,12.491874933242798,-2.9231247901916504,14.830374765396119
00-0039163,C.Stroud,4,233.0,2.0,0.0,31.0,00-0039163,11.0,0.0,0.0,18.42,HOU,TEN,17.22499990463257,12.369999885559082,15.64,12.369999885559082,13.954999446868896,1.5849995613098145,12.686999797821045
00-0039163,C.Stroud,5,244.0,4.0,0.0,29.0,00-0039163,30.0,0.0,0.0,28.76,HOU,BAL,21.625000476837158,13.119999885559082,16.651785,13.119999885559082,18.093215465545654,4.973215579986572,14.114643001556397
00-0039163,C.Stroud,7,229.0,1.0,1.0,53.0,00-0039163,25.0,0.0,0.0,13.66,HOU,SEA,14.057999897003175,16.247999954223634,15.190001,16.247999954223634,15.11599931716919,-1.1320006370544426,16.021599826812746
00-0039163,C.Stroud,8,318.0,2.0,1.0,39.0,00-0039163,30.0,0.0,0.0,21.720001,HOU,SF,17.03200035095215,17.235999870300294,15.449999,17.235999870300294,18.818001365661623,1.5820014953613288,17.55240016937256
00-0039163,C.Stroud,9,79.0,0.0,0.0,12.0,00-0039163,12.0,0.0,0.0,4.36,HOU,DEN,12.93799991607666,18.584000205993654,17.785,18.584000205993654,13.737000274658204,-4.84699993133545,17.614600219726565
00-0039163,C.Stroud,13,276.0,0.0,1.0,37.0,00-0039163,0.0,0.0,0.0,9.04,HOU,IND,15.767999649047852,17.384000301361084,14.141562,17.384000301361084,19.010437488555908,1.6264371871948242,17.70928773880005
00-0039163,C.Stroud,14,203.0,1.0,0.0,34.0,00-0039163,5.0,0.0,0.0,12.62,HOU,KC,16.67599983215332,15.5080002784729,14.376429,15.5080002784729,17.807571506500246,2.299571228027343,15.967914524078369
00-0039163,C.Stroud,15,260.0,3.0,0.0,30.0,00-0039163,10.0,0.0,0.0,23.4,HOU,ARI,16.611999702453613,12.28000020980835,16.586876,12.28000020980835,12.305123996734618,0.02512378692626882,12.285024967193603
00-0039163,C.Stroud,16,187.0,1.0,0.0,35.0,00-0039163,0.0,0.0,0.0,11.48,HOU,LV,14.384000015258788,14.228000164031982,13.793646,14.228000164031982,14.818354320526122,0.5903541564941399,14.34607099533081
00-0039164,A.Richardson,5,9.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.36,IND,LV,16.354999780654907,12.354999899864197,16.651785,12.354999899864197,12.058214783668518,-0.2967851161956787,12.295642876625061
00-0039376,S.Rattler,1,214.0,0.0,0.0,47.0,00-0039376,29.0,0.0,0.0,11.460001,NO,ARI,,15.019999821980795,17.265,15.019999821980795,,,
00-0039376,S.Rattler,2,207.0,3.0,0.0,37.0,00-0039376,14.0,0.0,0.0,21.679998,NO,SF,3.40500009059906,15.826666831970215,16.66625,15.826666831970215,2.565416693687439,-13.261250138282776,13.17441680431366
00-0039376,S.Rattler,3,218.0,1.0,1.0,41.0,00-0039376,10.0,0.0,0.0,11.72,NO,SEA,14.627500295639038,18.84666633605957,13.318125,18.84666633605957,20.156041860580444,1.309375524520874,19.108541440963744
00-0039376,S.Rattler,4,126.0,1.0,0.0,30.0,00-0039376,49.0,0.0,0.0,13.940001,NO,BUF,13.46500015258789,14.953333218892416,15.64,14.953333218892416,12.778333028157553,-2.1750001907348633,14.518333180745444
00-0039376,S.Rattler,5,225.0,1.0,0.0,31.0,00-0039376,21.0,0.0,0.0,15.1,NO,NYG,16.484999656677246,14.700000047683716,16.651785,14.700000047683716,14.533214807510376,-0.16678524017333984,14.666642999649047
00-0039376,S.Rattler,6,227.0,0.0,0.0,28.0,00-0039376,20.0,0.0,0.0,11.08,NO,NE,15.093999481201172,14.780000114440918,15.825,14.780000114440918,14.048999786376953,-0.7310003280639652,14.633800048828125
00-0039376,S.Rattler,7,233.0,2.0,3.0,36.0,00-0039376,12.0,0.0,0.0,12.5199995,NO,CHI,18.087999725341795,14.703999900817871,15.190001,14.703999900817871,17.601999092102048,2.8979991912841783,15.283599739074708
00-0039376,S.Rattler,8,136.0,0.0,1.0,24.0,00-0039376,12.0,0.0,1.0,2.6400003,NO,TB,17.84799995422363,12.872000122070313,15.449999,12.872000122070313,15.270001220703124,2.398001098632811,13.351600341796875
00-0039376,S.Rattler,15,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,NO,CAR,9.092000102996826,11.056000137329102,16.586876,11.056000137329102,3.561124324798584,-7.494875812530518,9.557024974822998
00-0039398,J.Milton,3,41.0,0.0,1.0,5.0,,0.0,0.0,0.0,-0.36,DAL,CHI,19.209999799728394,10.335000038146973,13.318125,10.335000038146973,16.226875066757202,5.8918750286102295,11.513375043869019
00-0039398,J.Milton,8,58.0,1.0,0.0,4.0,,0.0,0.0,0.0,6.3199997,DAL,DEN,14.564000034332276,6.469999939203262,15.449999,6.469999939203262,5.584001117944718,-0.8859988212585446,6.292800174951553
00-0039398,J.Milton,16,11.0,0.0,0.0,2.0,00-0039398,7.0,0.0,1.0,-0.86,DAL,LAC,8.366000032424926,5.279999881982803,13.793646,5.279999881982803,-0.1476459443569187,-5.427645826339722,4.194470716714859
00-0039451,I.Williams,11,0.0,0.0,0.0,1.0,00-0039451,4.0,0.0,0.0,0.4,NYJ,NE,16.095999908447265,2.8666666746139526,13.483999,2.8666666746139526,5.478667330741882,2.612000656127929,3.3890668058395383
00-0039577,K.Slovis,10,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,ARI,SEA,17.771999740600585,2.979999840259552,14.004286,2.979999840259552,6.747713768482207,3.767713928222655,3.733542625904083
00-0039577,K.Slovis,12,-2.0,0.0,0.0,1.0,,0.0,0.0,0.0,-0.08,ARI,JAX,20.356000328063963,1.9866665601730347,13.55,1.9866665601730347,8.792666697502135,6.8060001373291,3.3478665876388547
00-0039732,B.Nix,1,176.0,1.0,2.0,41.0,00-0039732,18.0,0.0,0.0,8.84,DEN,TEN,22.6850004196167,3.1599998474121094,17.265,3.1599998474121094,8.580000877380371,5.420001029968262,4.244000053405761
00-0039732,B.Nix,2,206.0,3.0,1.0,30.0,00-0039732,20.0,0.0,0.0,20.24,DEN,IND,11.605000138282776,4.420000076293945,16.66625,4.420000076293945,-0.6412500143051147,-5.06125009059906,3.407750058174133
00-0039732,B.Nix,3,153.0,1.0,0.0,27.0,00-0039732,33.0,0.0,0.0,13.42,DEN,LAC,18.445000410079956,9.693333307902018,13.318125,9.693333307902018,14.82020894686381,5.126875638961792,10.718708435694376
00-0039732,B.Nix,4,326.0,2.0,1.0,42.0,00-0039732,7.0,1.0,0.0,25.740002,DEN,CIN,10.790000081062317,10.625,15.64,10.625,5.774999737739563,-4.850000262260437,9.654999947547912
00-0039732,B.Nix,5,242.0,1.0,0.0,42.0,00-0039732,22.0,0.0,0.0,15.88,DEN,PHI,13.920000195503235,17.0600004196167,16.651785,17.0600004196167,14.328215718269348,-2.731784701347351,16.51364347934723
00-0039732,B.Nix,6,174.0,1.0,0.0,31.0,00-0039732,24.0,0.0,0.0,13.360001,DEN,NYJ,18.747999572753905,16.824000358581543,15.825,16.824000358581543,19.74700012207031,2.922999763488768,17.408600311279297
00-0039732,B.Nix,7,279.0,2.0,0.0,54.0,00-0039732,48.0,2.0,0.0,35.96,DEN,NYG,14.86399974822998,17.728000450134278,15.190001,17.728000450134278,17.401999664306643,-0.32600078582763636,17.66280029296875
